,video_id,popularity,title_length,nation
389,pmMjkMtpnTc,30,39,GB
390,tkhbOc-jZ6c,30,70,GB
391,CANm1UMAChY,30,90,GB
392,ulNswX3If6U,30,40,US
393,aj8mN_7Apcw,30,62,GB
394,hiBPUpCJ7MQ,30,81,GB
395,Iwz4P8HfGVM,30,47,GB
396,p5HH2UfZ2wE,30,33,GB
397,AvFNCNOyZeE,30,40,GB
398,#NAME?,30,17,US
399,aMGQgC5yV-o,30,63,GB
400,aCAhbjLKkt4,30,79,GB
401,A_xWDAbnBSU,30,41,GB
402,nRc0kmOYgzQ,30,51,US
403,x-R19oA1m8w,30,37,GB
404,nkWn5vKCZj4,30,55,GB
405,_7985zBEM3o,30,33,GB
406,OPHbqY9LHCs,30,21,GB
407,zVVrfqwA5lQ,30,39,GB
408,wfWkmURBNv8,30,40,GB
409,oQxKEtoHygY,30,59,GB
410,kP3xrSPYi-0,30,56,GB
411,zTIoErJmsp4,30,30,GB
412,JSXGagNzNLw,30,11,GB
413,RlSzahonkTk,30,51,GB
414,J6-8DQALGt4,30,56,GB
415,JwivtxQEmc8,30,60,GB
416,H95362B0YOg,30,43,GB
417,7GD1oeLeGUU,30,30,GB
418,FtX7GY_iPok,30,72,GB
419,7LNTrcguDaw,30,33,GB
420,YGXiVHTy0JE,29,39,GB
421,ElKPnh0Q8pU,29,68,GB
422,lpzJNwur6Zk,29,40,GB
423,sFLTqo2emQ8,29,64,GB
424,aHUmy5PvPjQ,29,49,GB
425,PjqKPHZJgF0,29,67,GB
426,aJOTlE1K90k,29,37,GB
427,exdrZa-k0GY,29,43,GB
428,f1xIeTCgoFk,29,78,GB
429,Bzu4G8uZs-4,29,33,GB
430,WrcwcMIYpQg,29,26,GB
431,zLuhCfBqf5U,29,52,US
432,pojXEFDFMw8,29,34,GB
433,SxAp27sFaIM,29,81,GB
434,JhvwFB-NUbA,29,46,GB
435,EBt_88nxG4c,29,40,GB
436,hu_4yAZVNsU,29,74,GB
437,l3vbvF8bQfI,29,21,GB
438,l1DTeah8YAs,29,58,GB
439,rgqU0MbRLDo,29,49,GB
440,um-1fAVU1OQ,29,40,US
441,H7gh2fmdjCU,29,47,US
442,cntsqw7XOF0,29,49,GB
443,1h7KV2sjUWY,29,26,US
444,y_WoOYybCro,29,52,GB
445,Gc71AmT_b2k,29,29,GB
446,1purAy2MsOc,29,26,US
447,v6yg4ImnYwA,29,33,GB
448,pl-DjiO8das,29,31,US
449,v7H_Or9Nr5I,29,31,US
450,upIaeqJEA2I,29,61,GB
451,geeTiovdXLQ,29,33,GB
452,jMf16G4kZUo,29,35,GB
453,6_DgXvcfhYg,29,53,GB
454,Un8b0JDw0Bc,29,59,GB
455,2in8XqiElwc,28,42,US
456,alRtHXnZMOI,28,17,GB
457,WIV3xNz8NoM,28,18,US
458,yzshoDMBkqE,28,31,GB
459,akNs04ef_Co,28,36,GB
460,yJqsPBWbtjk,28,94,GB
461,c0bsKc4tiuY,28,50,US
462,8LPVjHxXvJM,28,24,GB
463,5TTdcyRi-nw,28,64,GB
464,8I_NkJ8VTEI,28,34,GB
465,XIZmIl9SsXk,28,36,GB
466,6sHIq41sI-w,28,26,GB
467,byGeEw9tRh8,28,51,GB
468,gx3S73InQ04,28,83,GB
469,7bPSxB-8__o,28,89,GB
470,Xr2rgT9uEnA,28,37,US
471,aLt_4e6MthU,28,19,GB
472,a7NJ6Gek9v4,28,60,GB
473,lfIhBu0TZBs,28,19,GB
474,qfqVkEYQ1Ls,28,70,US
475,BgR_HJ7aGDY,28,34,GB
476,QgOXIEhHU1Y,28,83,US
477,CMzzImAolMc,28,76,GB
478,qfZcxeqa1g4,28,71,GB
479,MTstD7FHcBw,28,43,GB
480,zi_6oaQyckM,28,23,GB
481,JNkTNAknE4I,28,52,GB
482,ooyjaVdt-jA,28,64,US
483,IiRmtBZu0pM,28,29,GB
484,MvIwx0JThsk,28,71,GB
485,muAPJiMho2Y,28,37,GB
486,nranUeNkXpM,28,54,GB
487,nx1R-eHSkfM,28,30,GB
488,D_6QmL6rExk,28,51,GB
489,P3iLo_JI9oY,28,57,GB
490,CziHrYYSyPc,28,61,GB
491,CaE0JD1X12g,28,38,GB
492,0zZ0Y_UZRBw,28,45,US
493,LPTlvQ1Zet0,28,48,GB
494,f55HngFE9YM,28,37,GB
495,JVDyowAzBrU,28,60,GB
496,CJRw18MtRPg,27,36,US
497,dfnCAmr569k,27,46,GB
498,fRj34o4hN4I,27,18,GB
499,xmxEuQXTHUU,27,22,GB
500,3v0c6smpHSk,27,40,GB
501,df7PZIVe1lw,27,34,US
502,M2zrC1QF7Zo,27,80,GB
503,UhZ56rcWwRQ,27,37,GB
504,dRvKm__GrqU,27,33,GB
505,KObL442PWhQ,27,25,US
506,137EH-5jNLI,27,32,GB
507,pgN-vvVVxMA,27,19,GB
508,D6Oy4LfoqsU,27,84,US
509,UvDJ-ZdHiSg,27,53,GB
510,Mgfe5tIwOj0,27,39,GB
511,kD-_iyS95AQ,27,41,GB
512,V6ElE2xs48c,27,44,US
513,m7b8hitvfoE,27,86,GB
514,voG07pt-KYI,27,35,US
515,GLZZn7lCtcI,27,74,GB
516,zwEn-ambXLw,27,57,GB
517,oLDbO545aKQ,27,49,US
518,FxFF5bgG6xs,27,38,GB
519,jY3lRSmdLQg,27,42,GB
520,og77pfVFJTs,27,31,GB
521,HDYJVmoWoyA,27,21,US
522,5PR3Hn6cQ60,27,37,US
523,zbGSbZXzvqw,27,68,GB
524,n_W54baizX8,27,36,US
525,TI5bEf-BULU,27,83,US
526,yvYeAdcM2Ss,27,48,GB
527,ju_inUnrLc4,27,37,US
528,56KYMMGudcU,27,28,GB
